MainEntityName,Module 1_Inferred Retiree_URL1,Module 1_Inferred Retiree_Alias1,Module 1_Inferred Retiree_URL2,Module 1_Inferred Retiree_Alias2,Module 1_Transitioner_URL1,Module 1_Transitioner_Alias1,Module 1_Transitioner_URL2,Module 1_Transitioner_Alias2,Module 1_Mid-Career Saver_URL1,Module 1_Mid-Career Saver_Alias1,Module 1_Mid-Career Saver_URL2,Module 1_Mid-Career Saver_Alias2,Module 1_Young Saver_URL1,Module 1_Young Saver_Alias1,Module 1_Young Saver_URL2,Module 1_Young Saver_Alias2,Module 2_Prospect_Online_Activation_URL,Module 2_Prospect_Online_Activation_Alias,Module 2_Prospect_ProAccount_URL,Module 2_Prospect_ProAccount_Alias,Module 2_Prospect_Rollin_NonRetiree_URL,Module 2_Prospect_Rollin_NonRetiree_Alias,Module 2_Prospect_Rollin_Retiree_URL,Module 2_Prospect_Rollin_Retiree_Alias,Module 2_Prospect_CE_Increase_URL,Module 2_Prospect_CE_Increase_Alias,Module 2_Prospect_MIRP_User_URL,Module 2_Prospect_MIRP_User_Alias,Module 2_Prospect_MIRP_Revisit_URL,Module 2_Prospect_MIRP_Revisit_Alias,Module 2_Prospect_Stay_in_Plan_Retiree_URL,Module 2_Prospect_Stay_in_Plan_Retiree_Alias,Module 2_Prospect_Stay_in_Plan_Transitioner_URL,Module 2_Prospect_Stay_in_Plan_Transitioner_Alias,Module 2_Prospect_FNA_Retiree_Phone,Module 2_Prospect_FNA_Retiree_Alias,Module 2_Prospect_FNA_NonRetiree_Phone,Module 2_Prospect_FNA_NonRetiree_Alias,Module 2_Prospect_Covid19_Hub_URL,Module 2_Prospect_Covid19_Hub_Alias,Module_2_Prospect_Financial_Hardship_Phone,Module_2_Prospect_Financial_Hardship_Alias,Inferred Retiree_T1SL_A,Inferred Retiree_T1SL_B,Transitioner_T1SL_A,Transitioner_T1SL_B,Mid-Career Saver_T1SL_A,Mid-Career Saver_T1SL_B,Young Saver_T1SL_A,Young Saver_T1SL_B,Inferred Retiree_T1SLRB,Transitioner_T1SLRB,Mid-Career Saver_T1SLRB,Young Saver_T1SLRB,Inferred Retiree_T1SSL,Transitioner_T1SSL,Mid-Career Saver_T1SSL,Young Saver_T1SSL
All Other,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.nrsforu.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.nrsforu.com/rsc-web-preauth/enroll/proaccount/index.html,M2_ProAccount_About,https://www.nrsforu.com/rsc-web-preauth/articles/rollovers.html,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.nrsforu.com/rsc-web-preauth/articles/rollovers.html,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.nrsforu.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.nrsforu.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.nrsforu.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.nrsforu.com/rsc-web-preauth/about-to-retire/articles/stay-in-your-plan.html,M2_StayInPlan_PUBRetirees_Benefits,https://www.nrsforu.com/rsc-web-preauth/about-to-retire/articles/stay-in-your-plan.html,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
All Other - Private Sector,,,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.nationwide.com/personal/investing/retirement-plans/articles/credit,Module1_Mid-CareerSaver_URL1,,,https://www.nationwide.com/personal/investing/retirement-plans/articles/credit,Module1_YoungSaver_URL1,,,https://www.nationwide.com/myretirement,M2_Online_Activation_EstablishIdentity,https://www.nationwide.com/myretirement,M2_ProAccount_About,https://www.nationwide.com/myretirement,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.nationwide.com/myretirement,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.nationwide.com/myretirement,M2_CE_Increase_Login,https://www.nationwide.com/myretirement,M2_MIRP_Users_Login,https://www.nationwide.com/myretirement,M2_MIRP_ReVisit_Login,,,,,,,,,,,,,,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Arizona Deferred Compensation Plan,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.arizonadc.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.arizonadc.com/iApp/tcm/arizonadc/about/proaccount.jsp,M2_ProAccount_About,https://www.arizonadc.com/iApp/tcm/arizonadc/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.arizonadc.com/iApp/tcm/arizonadc/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.arizonadc.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.arizonadc.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.arizonadc.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.arizonadc.com/iApp/tcm/arizonadc/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.arizonadc.com/iApp/tcm/arizonadc/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Aurora,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.aurora457.org/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.aurora457.org/iApp/tcm/aurora457/about/proaccount.jsp,M2_ProAccount_About,https://www.aurora457.org/iApp/tcm/aurora457/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.aurora457.org/iApp/tcm/aurora457/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.aurora457.org/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.aurora457.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.aurora457.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.aurora457.org/iApp/tcm/aurora457/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.aurora457.org/iApp/tcm/aurora457/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Baltimore,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.retirewithbmore.org/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/about/proaccount.jsp,M2_ProAccount_About,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.retirewithbmore.org/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.retirewithbmore.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.retirewithbmore.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
California Savings Plus Program,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.savingsplusnow.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/about/proaccount.jsp,M2_ProAccount_About,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.savingsplusnow.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.savingsplusnow.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.savingsplusnow.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Chicago,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.chicagodeferredcomp.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/about/proaccount.jsp,M2_ProAccount_About,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.chicagodeferredcomp.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.chicagodeferredcomp.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.chicagodeferredcomp.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Cook County,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.cookcountydc.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.cookcountydc.com/iApp/tcm/cookcountydc/about/proaccount.jsp,M2_ProAccount_About,https://www.cookcountydc.com/iApp/tcm/cookcountydc/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.cookcountydc.com/iApp/tcm/cookcountydc/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.cookcountydc.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.cookcountydc.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.cookcountydc.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.cookcountydc.com/iApp/tcm/cookcountydc/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.cookcountydc.com/iApp/tcm/cookcountydc/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Denver,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.denver457.com/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.denver457.com/iApp/tcm/denver457/about/proaccount.jsp,M2_ProAccount_About,https://www.denver457.com/iApp/tcm/denver457/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.denver457.com/iApp/tcm/denver457/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.denver457.com/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.denver457.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_Users_DeepLink,https://www.denver457.com/iApp/rsc/one-rp-retirement-planner.x,M2_MIRP_ReVisit_DeepLink,https://www.denver457.com/iApp/tcm/denver457/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.denver457.com/iApp/tcm/denver457/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
Des Moines,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_InferredRetiree_URL1,,,https://blog.nationwide.com/who-to-name-in-a-will/,Module1_Transitioner_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_Mid-CareerSaver_URL1,,,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,Module1_YoungSaver_URL1,,,https://www.desmoinesdcp.org/iApp/rsc/establishUserIdentify.x,M2_Online_Activation_EstablishIdentity,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/about/proaccount.jsp,M2_ProAccount_About,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_NonRetiree_BenefitsofConsolidation,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/learning/library/some_benefits_of_consolidation.jsp,M2_Rollin_Retiree_BenefitsofConsolidation,https://www.desmoinesdcp.org/iApp/rsc/login.x,M2_CE_Increase_Login,https://www.desmoinesdcp.org/iApp/rsc/login.x,M2_MIRP_Users_DeepLink,https://www.desmoinesdcp.org/iApp/rsc/login.x,M2_MIRP_ReVisit_DeepLink,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_PUBRetirees_Benefits,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/learning/library/possible_benefits_of_staying_in_the_plan.jsp,M2_StayInPlan_Transitioners_Benefits,,,,,,,,,The conversation more people are having,,The conversation more people are having,,A pro tip on credit scores,,A pro tip on credit scores,,Creating a will – free and simplified,Creating a will – free and simplified,How your credit score can help your retirement,How your credit score can help your retirement,Prepare for your future to make sure your wishes are honored.,Prepare for your future to make sure your wishes are honored.,Get tips on how to raise your credit score and improve your finances.,Get tips on how to raise your credit score and improve your finances.
